"V1","V2","V3","V4","V5","V6","V7"
17874,46469,49145,46036,43339,48266,35341
56197,46232,43527,48685,40709,46094,47233
22531,45493,46498,47190,44814,45983,47667
11399,46475,42440,46479,46746,46020,41138
34976,46329,53335,44251,58349,49824,29594
65549,49611,51699,46817,46637,46036,58862
51707,47245,46410,46546,50485,48845,54680
32514,45181,46370,48380,41042,45423,50497
39676,47569,50751,46419,46556,47661,58552
11782,46201,46545,45138,47110,46271,48509
51772,47173,43674,46152,49641,48746,53450
64720,47096,47126,46778,49550,45931,43480
50684,48558,50687,47388,50698,47930,44132
75470,45640,39901,47993,46163,45172,63871
78892,48228,52057,46728,42806,45938,57115
54418,46100,42279,47701,39845,46322,54812
53371,49145,56420,46426,49048,48968,35222
33793,47202,44455,46330,41493,45002,54783
55890,47007,44055,46392,47456,48803,42602
15174,45746,44925,47516,43876,45736,44313
22019,47376,52895,46575,42213,45238,50630
7687,47166,43418,46040,43419,45348,47923
52220,47858,53570,45414,48012,47210,50980
29570,45609,40162,48947,45295,49793,34219
14661,45239,40769,47019,47793,45510,48764
83691,49143,50722,46844,45900,47856,43889
37440,45559,40611,48238,39818,45166,64872
84043,48133,49434,48887,44224,47028,44131
63737,47289,50045,46543,50380,47466,57994
63824,46751,43248,48417,43771,45043,55837
64079,48660,62825,42741,54440,51409,21497
54738,47558,46610,47073,45684,47122,40654
48212,45849,41214,47590,39437,44540,62467
28504,46967,42205,45774,44999,46134,47194
17413,47229,44263,47036,44569,46308,36881
64400,47162,45935,45625,50189,48156,37169
24066,46935,43887,47109,49207,50136,35936
26499,48058,49033,47932,41505,45092,52350
60643,46158,45352,47543,45776,46461,50693
48805,45145,35966,48250,40894,44602,57378
65616,47213,49937,47996,46697,45615,35690
67750,47931,44801,46658,44654,44405,52045
9926,45113,37588,48668,43911,44747,50998
23198,46577,40849,48910,38699,45988,45879
15622,47032,45784,46486,43118,48087,32373
23109,45559,41099,47159,49677,46141,40839
43605,46151,45406,48623,42329,45762,44166
21924,47100,45256,46298,42648,47041,36654
35329,47993,46456,46781,45673,45931,41526
60561,47775,51395,46233,50620,46328,39080
53536,46442,48445,45905,47859,49119,33170
54610,46667,49393,47322,43832,47061,47112
76556,46838,50310,46777,47490,47249,52124
43773,46840,40311,51748,38067,45383,67354
64679,46041,47744,47464,47847,46655,35819
38245,46155,44605,47554,48060,48692,50978
67598,46979,49588,47269,50898,47845,43238
49277,47073,48818,47819,46456,45496,57633
69859,49318,51597,44777,56969,49083,43286
29825,46375,39083,49099,41749,45076,61359
79166,48321,50642,46558,52416,48243,49483
66238,46354,42997,46566,52570,49441,36375
38656,46847,40351,48517,39781,44636,59849
27651,45766,43661,48923,37966,41947,60519
83500,47473,49011,47158,47331,47301,51372
24451,45937,40157,49197,44848,48076,48325
65522,46733,45735,46750,45550,46226,43695
62608,45437,37944,49066,46021,48749,48953
69199,47699,46678,46662,45577,46912,51573
64337,47249,43309,45107,54848,49985,27365
31553,46964,47148,47883,39896,44802,59185
21122,46188,44565,47911,44101,45522,54278
66446,45163,46042,48156,47554,48797,49405
10183,45367,35026,49496,39498,46275,45712
39295,46542,42812,50151,45055,45540,58284
24002,47541,48232,46661,48593,46116,44049
73236,47990,52194,43686,51639,49127,31862
19357,46375,43431,47139,40021,44886,42730
59409,46062,42438,50360,41161,45441,46539
63483,47190,54111,42806,56451,50953,28665
48636,46984,47845,45105,57324,48892,52663
73165,48077,56745,43105,52838,49717,42190
35552,46848,47082,45390,58748,49266,31908
68944,46097,42086,48103,42420,45785,54765
13126,46859,50881,45326,46412,46424,35012
44183,48365,46194,47973,39601,44822,60480
19442,48150,43708,46960,46460,48505,40957
50876,47213,51059,46789,50426,45586,58155
14598,45734,43106,46487,45759,45404,56073
13392,47968,55617,45345,46204,47220,33749
58194,47791,49608,48237,40074,43814,48964
46014,45555,38157,47249,38748,44837,53816
13358,46468,46532,46703,46873,46450,44287
33153,48533,45795,46327,42330,45706,53650
42751,47629,47905,46846,49756,49740,29761
33081,46321,46758,47015,37971,47193,40072
6183,48171,49915,43579,51889,48644,21679
12550,46275,48198,47952,42491,47381,37128
38926,46312,42011,45130,53154,48086,32063
71247,47193,40259,48807,41607,44651,60179
24323,45767,42946,47236,47435,46829,36355
39934,45158,45002,47700,49600,48133,61730
68047,46433,48639,48345,47436,49321,31184
28610,46292,48593,47815,49801,48815,37159
58266,46694,47583,46287,49451,48257,40535
58859,45183,38827,48814,41771,43816,63122
60666,47245,48749,46649,50671,47125,57133
24644,45100,40606,49757,39500,44969,49671
32449,47256,43643,48005,47537,45934,45077
77388,47018,51434,46128,47861,45736,54839
53500,47128,47028,47936,44673,46540,56036
26114,47901,50680,47240,46183,46715,42572
52731,49006,62594,43548,53002,48439,42418
63185,46739,40132,48407,36958,45658,53788
51497,47658,53101,47706,42372,45795,66791
57617,47986,45595,47023,41465,44501,59596
30464,46917,50669,45532,50950,48404,45819
69712,46118,42594,48101,39842,44108,63883
38846,47113,47288,49144,44627,47541,50190
25953,46910,41815,47904,42444,46248,56180
61521,45368,41357,48907,43006,46674,47421
53819,47815,47833,49308,46890,47663,43444
55867,48725,55656,47875,42521,44233,56657
7175,46368,45494,47238,46946,46881,34378
89546,47045,48179,47577,45139,46226,56215
74797,45939,47105,46749,53377,48352,47092
9992,47504,42976,48427,37694,44603,52133
77196,46932,48615,47683,45376,46485,53330
72066,46464,44210,47929,46949,46250,56604
38335,48636,50217,45336,50462,47914,47825
75417,47040,51962,43181,49890,48027,45426
37119,47252,45359,45990,52234,47975,51710
54354,45302,37101,47999,46038,43882,68743
28161,46529,44709,46819,46606,49466,37368
69998,47767,53348,46079,53802,47907,37475
66741,48121,54070,45145,45605,48203,44689
32898,47614,50254,44535,52474,47269,33234
37887,48094,43508,47097,47908,46808,56787
86091,48065,54580,46086,48247,45972,51522
27649,44978,40522,48648,47666,48432,52575
71630,45927,41084,49596,46595,49140,45946
53308,49265,56074,44746,55775,49083,31649
39166,47574,40958,50247,45320,46828,55362
24834,47456,51213,45213,51880,46040,46879
30721,46481,44184,47487,48723,47156,44436
45652,48414,48873,48554,38192,42921,48942
45309,47407,43978,49003,43255,43857,73639
24963,47718,43132,46839,47112,47257,43757
53074,46266,48058,48067,46896,46866,43263
18117,46915,44229,45180,43869,45357,48891
27075,45654,38968,47818,49552,47947,42087
58362,47331,51877,47613,50827,44880,55917
76814,47645,57679,44766,55272,50086,28154
30976,46396,50126,46537,50467,48815,44021
78963,47369,48494,46738,50286,45358,48887
46333,48410,42673,47647,46713,46807,56219
61712,46995,52275,46582,51820,46916,42297
35839,48286,52955,44398,53652,47333,48801
56731,47905,48550,44753,52924,47629,37947
59130,48573,46327,46862,51009,45806,56772
69070,47407,49455,46478,46550,47098,53477
73891,46370,42536,46066,45212,48605,52291
55803,49313,57004,45970,53052,48755,29880
61905,46743,48383,45586,49224,47094,41412
60069,48103,49968,46432,46230,47667,44778
48596,47150,39637,47770,52328,47659,31968
35547,48282,47065,47031,46731,47519,54065
8967,45897,46965,46278,46124,48163,36137
37568,46023,43845,46896,45729,45806,58795
73885,47322,54429,44548,56810,49047,50991
49393,48918,53169,47116,44383,44018,71070
76493,46359,42768,48106,50602,47332,55472
40830,46990,40982,47833,42547,46010,69635
79607,46963,43318,48493,42239,45196,61227
21506,47526,47629,46789,44293,46381,47734
52988,49543,58867,45001,41926,47456,44555
49404,48526,49026,45864,54762,50044,38429
30018,47356,39262,48424,38102,46752,47293
65104,47311,54329,46307,42644,47517,37031
80034,47824,41254,48952,43096,45550,56435
47357,46427,50501,46262,50909,48750,50469
467,46659,40570,47284,45597,47575,34636
41535,44641,48726,47361,46275,47478,51925
73464,47357,49896,46913,46652,46749,42631
45105,46861,48143,45697,45946,46806,62418
37119,47118,46922,48343,48472,46509,51021
50172,47262,49366,47017,46643,47863,50664
9671,47251,41008,46194,46751,46791,40118
40894,47129,45721,47140,47925,48594,54000
34048,47825,49206,46639,49725,46097,43360
34561,45714,50072,45131,48383,47893,45256
70541,46971,51240,45600,44860,45580,65558
32512,47696,47802,47350,47904,46750,50123
22148,45189,44150,46879,45728,48374,37419
19971,46311,42655,48903,41248,42694,65050
32130,46642,37118,47832,47095,48234,39256
3592,45974,43736,47664,43025,48079,32269
40702,47426,50373,48741,42586,45362,61784
20164,45954,39628,47230,40972,44168,58987
11270,46428,50681,45930,42362,48298,32931
28078,44804,41543,47256,47378,48514,38821
41087,48639,51475,45371,48557,49892,31649
50428,47081,47176,45977,48551,47019,57973
5640,48399,41826,45561,49674,46482,33858
22812,46203,49645,47434,45375,48519,45132
15212,45761,43056,49123,41742,44719,47543
65396,46601,44779,48843,44274,47366,42749
70691,46891,43801,46770,47038,45832,48422
57082,47764,54140,45724,50313,48437,48287
39936,47799,41677,46662,48501,47871,41872
46231,48504,45988,46388,48970,48942,42967
14725,45872,44793,48526,45829,46656,31785
7839,46780,46318,45995,49578,46798,29298
79149,48728,48746,45482,45058,45538,58058
41471,46713,56054,46705,46164,48473,32716
78476,47436,51325,46178,43699,45616,50294
4117,45196,45856,47294,46533,47957,35688
66127,46139,47817,45992,54808,49649,36209
39708,44695,38474,47133,53430,47977,30809
39550,47254,54406,46835,51945,46094,51965
27523,45747,40189,48623,34643,44245,64851
35583,45363,50329,47086,53597,48110,46333
38591,47240,40193,46998,51211,46872,51098
43389,47320,53070,46229,55481,50797,32991
30513,47986,55498,44057,53201,44512,57136
30753,45877,37148,50367,36709,45416,64520
43837,47986,49475,46897,46944,49293,44146
28353,46081,40657,46921,49165,48245,49784
72397,47148,48412,46920,45028,48156,49911
49747,46515,41645,47495,43665,45283,54053
61625,44787,41550,45731,50438,48426,42659
13318,45550,47019,43983,61152,50533,25822
21508,44101,37621,49155,40809,45552,54267
17874,44918,42293,46323,51610,48025,31748
27782,44509,35350,49025,39941,44267,57269
34177,46679,39437,46872,53971,47909,36387
43261,46472,51762,48052,53420,47708,49054
29793,47235,51580,47564,42930,45358,47834
22786,46911,49527,46192,44780,46552,47345
46781,47716,51861,46589,51228,49414,37024
70543,47923,49435,45049,45593,45577,53129
67598,47315,55181,45498,47570,48916,35217
23554,46591,51243,46293,49502,45143,50704
99667,47680,46754,48164,44344,44133,73192
44286,47477,40660,48679,45069,48379,51850
8114,46826,45120,47573,42008,45269,43787
43582,46136,43411,48982,38473,43791,69310
66895,46520,42473,48510,43473,45004,70136
59898,49299,54935,46682,50330,47672,40166
59643,46785,50902,44461,49037,46304,58269
27266,47726,46810,48342,42527,45450,52695
19203,47613,46822,47878,35610,44421,58263
70479,46338,52138,45363,51191,47272,40659
65553,45403,36479,50014,38166,44377,69595
59082,45340,41791,47544,46084,46257,44222
15850,47450,44324,47274,47103,47246,44174
38398,48494,48672,46612,47651,48429,48549
62799,48122,51296,45330,52545,45861,50340
71566,46171,46232,47166,45175,47792,57836
59216,46816,44067,46930,44731,46353,59667
5032,45900,45180,47682,34768,45306,49924
31105,47234,44516,47065,47029,48505,44632
79596,47498,51227,46710,49071,46894,46666
70992,44740,42808,48807,47475,45345,54950
42407,45239,35144,47343,44266,46130,48186
79775,47660,48300,46337,49763,47502,43717
22660,47152,46332,46244,47253,46611,35442
755,45549,39711,49916,45899,45831,37616
59130,47781,47533,47844,38589,46424,68681
49747,46278,46192,47471,51773,47623,33134
79330,48439,56225,44160,53797,49424,51037
63909,45771,48384,47011,48604,47089,47099
38782,47921,56243,45148,59180,49870,31483
73132,47226,47972,47516,52043,49400,38886
7527,45703,40878,48516,48914,48593,26331
30337,46428,48055,44543,57614,48527,37132
78316,46212,53549,46874,46803,48573,48277
12326,44761,41741,48099,42107,47018,43532
41725,47997,48713,47791,44722,47165,56907
17158,46423,36447,50184,36103,42802,58846
28674,45311,34821,50190,46958,46118,52112
81547,48797,50349,48927,40117,45522,50375
56914,47179,39770,49022,41631,44063,54748
74190,46217,50000,45404,55609,47335,46677
74728,48109,55534,45342,52351,45532,45434
53755,47039,51647,48922,43226,45397,63419
42749,47437,51838,47966,48029,47670,50819
74060,47745,48694,46558,51307,46119,51347
47766,49211,55331,44769,49019,47858,42225
61777,46255,42415,48212,43911,44856,54832
59217,47968,44276,48280,43389,46231,46867
40351,46184,46457,45638,54046,48115,43225
34945,45514,42593,48155,41343,45173,56915
63953,47023,46906,47347,42875,46851,39818
17079,46067,39202,47708,41058,43429,54786
57850,49845,59737,45023,49980,45968,44213
29954,45931,50447,45604,50303,48540,39741
22467,46721,43492,47452,44422,45523,54227
71694,48019,51271,47368,44096,45593,56517
96181,47843,49247,46558,59523,50391,35245
12678,45796,40987,51472,34386,43497,51337
36096,47013,45430,46146,50838,48853,36417
7574,45741,48536,45727,50856,47678,34980
0,45383,42708,48403,41053,46028,41562
68614,46421,37847,48713,40929,45941,58488
27202,47283,42916,48681,44661,46237,47141
44030,46646,44757,48915,44214,46862,46727
101713,47949,58595,44792,51004,47742,57679
56082,46358,49061,47245,41723,46806,41578
45821,47119,49039,46213,50867,47222,53775
73037,47261,48212,45911,49929,46722,44855
67361,48376,49164,47947,45327,48431,58298
50429,47380,50535,46812,49934,48813,38782
72527,48437,51321,47519,37919,46466,43898
46100,45150,45303,46737,46620,47394,44804
63569,46012,36643,48595,44040,46725,48495
51283,47126,50930,46722,43910,47861,39762
74093,47720,49307,47045,49510,45835,54306
69294,46071,42937,49351,43443,47280,59593
35030,45416,41362,48841,43377,47828,31652
55505,46296,49077,45673,52819,46595,48420
31488,48373,52994,47655,51168,47995,31892
53755,48191,57574,46274,45984,47032,50746
61484,45312,43425,50061,43114,46181,48698
46845,48571,52077,45317,52019,47374,47607
46077,47153,49587,47635,46210,44772,60853
48317,46270,41974,48547,45790,47571,59445
19652,47756,45609,47027,41248,45826,39559
23556,45900,43233,48680,39578,45601,44203
52409,46429,47232,48254,44009,46814,39606
34561,46084,48362,45830,49196,49453,33024
52955,48432,55209,45403,54968,49215,43625
54268,48545,49019,44604,49856,49226,46473
66574,46303,45761,47762,49815,48004,49888
52243,46433,42246,49104,45936,47422,40386
46078,46549,51135,46901,46076,47481,45917
63855,45717,38805,48760,49361,44925,64958
71694,47642,54216,45308,59172,51481,17860
55071,46139,49011,46045,48657,47588,39607
56657,47265,48557,46497,46572,44930,55892
25219,48202,56797,45323,45778,44846,48981
53093,48363,50130,45161,52177,47026,59114
83658,46849,48943,47295,47233,47095,51989
33024,47207,46256,46370,51729,46783,53763
50812,47034,52987,44530,55459,48360,47410
36480,48068,53316,44741,48628,43791,52765
7344,44709,48552,43679,53144,49173,32903
36198,45970,42926,47795,47580,48473,51876
11923,46645,45732,43783,47396,45137,47112
31224,49464,58911,43594,48301,47022,43577
43326,45810,45224,47667,45962,46560,64857
44956,47841,57607,44968,56497,49218,43277
17125,46552,38459,47981,41188,46811,41952
24579,48018,44519,47562,41281,45877,44491
72591,47677,46131,48945,43326,45691,46484
40907,48189,48041,46322,50798,47610,45404
45885,49096,56704,43611,55515,50023,35199
25027,46975,50974,43775,51102,50233,27850
35072,48113,56350,44351,53213,48318,38987
57682,46177,44954,46286,52229,48767,35808
68176,45276,43361,47829,45861,48317,43882
33536,47066,47720,48064,43001,47097,54729
39039,47755,48220,46977,47434,46299,44988
20536,46495,44641,47386,44329,46380,40771
70095,45725,45299,48396,50829,50087,32752
32530,46695,42769,47412,42889,46294,36745
50940,46873,49847,47583,47461,47177,47721
56769,46375,51077,48574,47463,48167,54757
39781,49045,45385,47715,44731,47973,45927
11367,45681,46860,45791,48085,46105,39749
57725,45330,43672,46739,42473,46902,44983
76622,47495,38757,49944,42961,46117,51253
59107,45565,46982,46588,43960,44767,61748
67919,47508,46058,47105,46088,47295,44879
87874,47113,48715,47438,50972,46839,57324
46845,46225,47724,48158,46745,48069,46910
72397,47462,57663,45295,53515,49637,34109
51195,47827,56178,47313,51872,46737,45323
57234,47359,46888,46249,51425,50789,24560
41342,46539,51011,45654,51416,48423,51552
31746,45444,33314,51025,36793,45359,56791
66703,48478,53598,49362,40043,47451,34782
37847,46772,51377,46495,48109,46999,63344
57340,46340,51599,45715,45245,44506,53416
19643,46554,42909,47267,52571,47759,20655
38144,46123,38959,49354,47630,47995,39635
18691,46991,46400,46304,50480,47795,38500
33985,48311,47681,48428,42509,45371,43988
10630,45278,38027,48932,40417,45662,49781
12165,45908,36467,49036,37576,43189,67022
17092,46098,45247,46780,50353,48446,35121
46932,46869,40841,49471,42699,47914,37577
79404,46716,42070,48198,43981,46120,61524
79180,47070,49726,47169,47589,47547,44446
25603,45601,44666,47768,44433,46424,39059
1052,45842,38950,49238,35698,46312,44090
58578,46773,45048,44680,50170,46035,48006
79053,47039,46634,47807,52570,47751,44013
94164,49605,57308,45272,50837,48418,45184
90833,47189,51030,46786,54905,50438,36459
65359,46620,43763,47790,46301,44723,67801
48893,46466,53718,45145,47196,47349,55494
29186,47226,41211,48513,45518,44400,52886
66129,46633,49009,45517,48880,48190,36968
61073,44870,47532,47776,47081,48723,34148
19524,45062,42073,46381,45436,47025,44816
25601,46729,45907,47296,51049,46545,46939
55570,45476,41695,46808,49057,48616,48937
63056,47423,50799,43925,52116,47761,42981
33282,46819,45277,47758,43750,43951,51046
13062,45893,42793,45739,46909,49234,29718
81995,48762,51237,46122,44684,46669,49308
62225,46139,43639,48862,44401,46424,46365
61689,48006,53016,47247,48173,47733,48767
56914,47177,48781,46209,41267,44691,54226
67950,47383,48637,45307,47406,48312,54785
19141,46010,42263,48119,40944,46942,38901
82738,47565,50323,46574,49569,46352,61902
60395,47268,46232,48363,43856,47494,34562
61520,44733,38374,47485,46774,48034,58165
69403,46974,38357,48882,44275,46289,59673
52306,46779,55335,43849,53459,46023,45462
35976,47967,49954,44550,56096,48693,45874
17670,47708,43958,47292,41585,45537,41659
34304,49531,51648,45501,48776,50532,32703
56315,48445,51385,45000,53837,48939,41779
50874,45959,41054,48675,44965,45344,49264
22084,47240,44167,48683,45120,47477,33594
32066,47958,50599,45745,44017,47580,36154
51452,45972,44766,48312,46768,47231,54706
31105,46265,51647,44946,53127,48549,37841
33536,46921,46624,47978,48191,47474,46745
67215,47623,45402,47899,42927,48325,36857
36799,47571,54276,43875,57369,48861,41150
75725,47535,41490,48244,45454,47091,57226
57083,49452,51482,44879,52266,48246,43186
76684,48907,47946,46223,53067,48199,34586
8136,45999,47113,45655,43118,45015,49725
61177,48211,50389,45010,53206,47965,52645
84428,47233,43456,48879,42084,46686,57749
50771,48058,43223,45963,46154,47946,41477
63056,45533,41060,47875,42324,45726,63143
24610,47030,50414,44669,51883,49374,36351
13958,46940,46188,46166,43936,46457,37209
55889,47176,51162,46192,46981,46150,48976
91422,49741,53710,46085,48533,46086,57945
51795,47442,46545,47947,46134,46676,40987
21411,47282,52538,45050,49286,46901,47315
27529,45556,44624,47559,44098,45999,40306
75085,46651,48931,47794,49796,48166,35969
74317,47350,43344,45393,52781,45998,52494
90352,47104,45444,47924,43964,46359,63261
44029,48023,50615,46963,53286,47352,42081
38976,46314,45406,47586,44471,45562,54591
48467,45890,45972,47564,44993,48406,40618
25155,46998,46111,47168,40652,46805,38896
56699,48710,48898,43987,54651,50882,39438
54998,47118,50718,46544,38929,45176,40107
70095,44571,47785,47309,47992,46936,48834
53075,45697,41285,47823,49664,48412,39966
55802,48148,51570,48498,47968,47583,46432
48380,47984,50634,47040,43048,47969,53393
33853,46688,49842,47205,48690,44734,66891
49427,46732,38551,49261,48672,46991,38513
41790,47416,54400,45903,51957,50321,34032
47356,46178,46793,46822,48606,47359,67119
61264,46965,46453,46901,40217,43425,74370
40159,46305,45218,48338,45341,47912,43361
65104,47675,49500,46246,50354,46643,42441
48892,46895,46530,49972,43366,45618,59624
58618,47181,46217,47890,49828,45430,63706
50683,47304,47981,48452,45172,44850,68246
51201,50086,53312,47525,49716,46155,50734
72051,46555,46403,47613,45804,44919,46776
64079,48632,55827,42240,53711,49736,37798
36544,44955,41965,48729,46356,44435,63778
20613,46901,43123,47717,49411,47825,25341
12550,45427,44050,48284,41803,44949,50103
28931,46237,43235,47204,41746,45674,49021
39168,46101,46843,45634,47009,46587,52716
12550,46793,44222,47393,43351,46735,39702
48125,46673,50270,46686,49865,47046,53150
55122,47032,47486,45711,50687,48795,40666
88512,46438,43005,49576,43679,45588,63567
76237,46855,55392,45587,54561,49385,28491
83388,48706,50105,46070,47454,46307,47393
48828,47095,48989,46468,53424,48395,46368
82659,49187,57660,45687,48422,47873,48937
16550,44101,44559,46540,46578,46918,44130
51091,47002,48384,46567,45908,47111,36850
60113,47263,44915,45925,53393,45855,49802
57767,46719,45047,47022,39416,44814,59049
37952,48555,45602,47141,46821,46160,44069
20037,46678,46312,47267,45066,46443,40959
36351,47258,54218,46504,47499,46822,52258
63861,47970,44837,46496,40600,45618,55261
63020,46060,43674,49023,46641,46436,46332
81292,48270,52924,44965,43443,47685,55508
43569,48186,51736,45936,51004,49785,34704
37953,45718,38928,48993,42519,46427,36951
41982,47978,46579,47108,43044,47814,54999
55890,45071,42949,47456,44190,45958,61288
26499,45786,46005,46130,55223,48427,39645
27458,45421,47162,46727,45067,48399,46822
15044,46265,36624,48444,47492,48286,38648
65104,46506,51111,46059,49457,49826,25496
70149,46642,42630,46943,52001,48074,41376
55960,48191,51189,47778,49789,45023,56979
49037,46311,40246,46316,46298,48503,31326
63225,48312,51344,46615,48050,49154,48000
51324,47002,48237,46591,55765,49135,41819
63940,49627,58635,43757,55725,48111,42350
67773,46640,42864,46933,49150,45205,54908
41522,46931,49953,46164,52863,49286,38539
41213,47552,49539,46429,50989,48481,51037
12933,45960,37105,48831,41007,46109,53155
45141,46203,48822,46363,42588,45182,52456
75853,48482,50614,45451,49002,48376,36834
59514,47459,54440,47986,47380,44935,55827
26114,45679,45288,46944,47748,46786,49681
86765,47360,50158,46817,44810,44552,64161
80460,48403,51413,45833,51963,49565,31716
86158,48969,51374,47564,52569,46142,50357
9222,46074,46262,48268,45138,43503,45167
64336,46846,47250,44772,47840,45482,59888
63057,48450,47798,45566,48781,45898,39888
328,45651,46087,45860,42133,44502,51859
18180,46076,45099,47795,47013,47488,41978
53243,47912,53220,47685,41805,43587,70902
65199,46672,45673,47020,49363,46644,55634
62801,46250,45930,46416,50201,48556,32269
60665,48169,47984,48649,43772,46003,61256
8541,45446,44454,47685,42289,46617,44490
53545,45782,37098,47036,46555,47839,37577
62713,48094,54054,46359,53558,48875,41834
7687,45766,39521,49843,45923,44372,43891
31234,46811,52163,44527,49582,49930,32247
25859,44773,41878,47629,47308,49055,36275
13318,47457,45938,47420,45117,45573,35295
71032,48555,57195,45474,43990,44749,70891
26881,45975,42660,49444,44852,48317,46060
80677,47210,43093,47741,44398,45655,78764
21732,46689,49305,47026,42785,48550,25295
33600,47882,50001,46162,44953,49782,37268
59503,46050,42154,47490,45477,46672,36835
8776,45649,44460,47798,41723,45726,42638
31489,46861,42718,46702,47067,45272,57007
48381,48458,53211,47815,45693,46287,43084
94781,47321,53380,45717,45646,46268,64538
55378,45904,47970,47612,39417,45493,54496
66896,45824,37258,47605,45525,44832,61108
29057,48053,46502,45631,49316,47969,42542
26562,48197,49649,44291,53252,48533,37633
56913,46836,43638,49283,42509,46752,47253
35063,47129,49353,44558,55031,48058,51472
83275,48098,48614,47791,42873,47996,46360
12034,46133,42647,49370,40665,44780,55543
80907,47823,57774,43521,53292,49158,41595
43773,48413,57186,44393,55489,49710,40713
58746,48911,48472,46554,53308,48734,40670
59216,47293,49241,47050,49390,46868,45198
57467,47390,49514,47479,46419,46543,56157
19588,46874,47842,45279,43656,47481,45770
56273,46854,42787,47530,46784,46145,54368
36096,48209,43755,45438,49009,47034,51297
46164,45694,39627,49678,42880,45943,49083
39934,47235,48417,48852,49083,46010,49935
59729,47456,53183,46573,41247,46056,44791
29805,48712,51125,45136,51079,45416,50039
9930,47997,45963,45407,47843,46426,39584
34945,46883,45177,46918,43592,48127,45006
45820,47609,58024,44673,49944,47679,54084
10183,45020,41236,46159,49009,48526,40346
69070,48622,52462,45753,51743,46749,42704
60496,47133,48151,47640,42441,47485,50859
65615,48286,52661,47239,41321,42509,58393
27139,47044,48872,46383,44600,47602,31266
15365,46858,45413,44495,46182,45467,48502
92199,47430,53200,45259,56797,49104,45241
79244,46446,39082,47542,50987,49733,40292
69039,47709,48173,45804,50433,47430,48499
57733,46457,44685,48740,43242,47283,39316
69327,48213,48567,44752,56195,50107,22440
5127,46976,44576,45850,46791,48352,30965
19460,46805,45829,46432,47340,45656,38614
49747,46790,42265,48632,40463,44010,59282
17540,46737,45279,46428,51986,46294,38349
58065,46525,51947,45348,55593,47224,38225
52476,46470,53426,46618,48601,47178,49556
10630,44804,39264,50740,40588,45757,41299
84811,49899,57724,46598,43767,47058,38536
38860,47517,46900,46188,48249,47512,50792
28994,46993,41636,48389,48501,47744,40388
64079,46466,42399,48452,46058,46822,58442
74221,47927,55623,45433,51910,50136,29857
53587,47368,50902,45858,44146,45838,42145
42443,47301,49236,47450,51209,47358,45292
67323,45939,44413,47439,51139,47720,37617
29058,47295,43250,46132,48047,49366,41434
68302,46715,48168,47189,44230,45856,59533
12167,46077,43415,46027,44654,45986,48051
98170,48516,54639,45745,52068,49753,41969
32385,48111,46963,45145,50678,46703,45427
21251,47823,49096,47677,42845,45424,43329
64208,46345,32729,51463,39500,45331,65166
51923,45696,40968,47470,46366,46413,51479
